Date,Wetland,Start,End
09 de enero de 2020,angachilla,1,24  
09 de enero de 2020,miraflores,25,48 
09 de enero de 2020,el bosque,49,72  
27 de octubre de 2019,el bosque,73,96 
31 de octubre de 2019,miraflores,97,120 
31 de octubre de 2019,el bosque,121,144 
31 de octubre de 2019,angachilla,145,168 
27 de octubre de 2019,angachilla,169,192
27 de octubre de 2019,miraflores,193,216 
28 de octubre de 2019,el bosque,217,240 
29 de octubre de 2019,el bosque,241,264 
30 de octubre de 2019,el bosque,265,288   
28 de octubre de 2019,angachilla,289,312 
29 de octubre de 2019,angachilla,313,336 
30 de octubre de 2019,angachilla,337,360  
28 de octubre de 2019,miraflores,361,384 
29 de octubre de 2019,miraflores,385,408 
30 de octubre de 2019,miraflores,409,432  
06 de enero de 2020,angachilla,433,456 
07 de enero de 2020,angachilla,457,480 
08 de enero de 2020,angachilla,481,504 
10 de enero de 2020,angachilla,505,528  
06 de enero de 2020,miraflores,529,552 
07 de enero de 2020,miraflores,553,576 
08 de enero de 2020,miraflores,577,600 
10 de enero de 2020,miraflores,601,624  
06 de enero de 2020,el bosque,625,648 
07 de enero de 2020,el bosque,649,672 
08 de enero de 2020,el bosque,673,696 
10 de enero de 2020,el bosque,697,720 
13 de abril de 2020,angachilla,721,744
14 de abril de 2020,angachilla,745,768
15 de abril de 2020,angachilla,769,792
16 de abril de 2020,angachilla,793,816
17 de abril de 2020,angachilla,817,840 
13 de abril de 2020,miraflores,841,864
15 de abril de 2020,miraflores,865,888
14 de abril de 2020,miraflores,889,912
16 de abril de 2020,miraflores,913,936
17 de abril de 2020,miraflores,937,960 
13 de abril de 2020,el bosque,961,984
14 de abril de 2020,el bosque,985,1008
15 de abril de 2020,el bosque,1009,1032
16 de abril de 2020,el bosque,1031,1056
17 de abril de 2020,el bosque,1057,1080
20 de julio de 2020,angachilla,1081,1104
21 de julio de 2020,angachilla,1105,1128
22 de julio de 2020,angachilla,1129,1152
23 de julio de 2020,angachilla,1153,1176
24 de julio de 2020,angachilla,1177,1200 
20 de julio de 2020,miraflores,1201,1224
21 de julio de 2020,miraflores,1225,1248
22 de julio de 2020,miraflores,1249,1272
23 de julio de 2020,miraflores,1273,1296
24 de julio de 2020,miraflores,1297,1320 
20 de julio de 2020,el bosque,1321,1344
21 de julio de 2020,el bosque,1345,1368
22 de julio de 2020,el bosque,1369,1392
23 de julio de 2020,el bosque,1393,1416
24 de julio de 2020,el bosque,1417,1440
27 de octubre de 2020,angachilla,1441,1464
28 de octubre de 2020,angachilla,1465,1488
29 de octubre de 2020,angachilla,1489,1512
30 de octubre de 2020,angachilla,1513,1536
31 de octubre de 2020,angachilla,1537,1560 
27 de octubre de 2020,miraflores,1561,1584
28 de octubre de 2020,miraflores,1585,1608
29 de octubre de 2020,miraflores,1609,1632
30 de octubre de 2020,miraflores,1633,1656
31 de octubre de 2020,miraflores,1657,1680 
27 de octubre de 2020,el bosque,1681,1704
28 de octubre de 2020,el bosque,1705,1728
29 de octubre de 2020,el bosque,1729,1752
30 de octubre de 2020,el bosque,1753,1776
31 de octubre de 2020,el bosque,1777,1800 